PassYardsAllowed|RushYardsAllowed|Touchdowns|Safeties|Interceptions|Fumbles
297|232|5|0|3|1
214|123|4|1|3|3
362|181|2|1|3|2
374|160|3|1|2|0
204|154|1|0|3|1
244|158|2|1|2|0
308|144|2|1|0|3
284|129|4|0|1|1
335|231|2|1|2|1
297|174|3|0|0|3
483|199|4|0|3|2
470|234|3|0|1|2
437|113|4|1|2|3
476|60|3|0|2|2
438|209|1|1|2|3
298|71|1|1|3|1
250|251|3|0|0|0
419|216|0|1|2|0
458|182|4|1|3|2
465|58|3|0|1|3
255|53|3|0|2|3
388|263|4|0|1|1
255|87|2|0|3|2
464|260|3|1|0|3
464|174|5|0|1|2
445|157|1|1|1|1
331|60|0|0|0|1
343|90|0|0|2|0
302|87|4|1|0|2
409|234|5|1|1|3
496|243|2|1|2|3
423|120|3|0|1|0
331|213|3|1|1|3
484|297|2|0|1|3
248|285|2|1|1|3
432|141|3|0|0|1
349|189|4|0|3|3
238|86|1|1|2|0
442|151|2|0|3|2
200|66|3|0|3|2
500|137|3|0|0|3
228|52|4|0|1|3
451|239|5|0|2|0
258|228|5|1|3|3
336|59|5|0|3|0
398|179|4|0|2|3
482|264|1|0|3|0
346|218|3|0|3|2
415|122|5|1|0|3
434|134|2|0|0|3
309|244|0|1|3|3
286|240|2|0|1|2
337|77|2|0|0|3
341|285|5|1|1|1
446|187|2|1|3|3
280|289|3|1|1|1
296|276|4|0|0|0
275|67|1|0|2|0
384|70|3|0|0|2
271|169|4|1|2|3
457|69|1|0|1|3
446|298|4|1|3|1
217|230|0|1|0|1
466|229|5|0|1|1
384|96|1|0|1|1
298|221|1|1|2|3
327|70|5|1|0|2
456|98|0|0|2|0
465|115|3|1|3|1
293|125|4|0|1|2
338|255|2|0|3|3
470|235|5|0|1|1
343|267|0|1|0|0
485|92|5|1|1|2
399|185|0|1|1|0
414|51|0|0|1|3
354|265|1|0|1|3
426|163|1|0|1|3
467|92|2|0|0|1
203|157|1|1|1|0
345|252|5|1|2|3
340|58|3|0|3|1
430|172|5|1|3|1
258|120|2|1|0|3
250|65|4|1|1|0
295|216|3|1|2|2
416|163|4|1|3|0
482|300|3|1|2|0
418|292|1|0|2|2
482|98|1|1|0|1
345|234|4|1|2|1
477|99|2|1|2|2
218|199|3|1|1|0
289|182|0|0|1|0
442|105|5|1|1|3
394|248|4|0|1|3
274|80|3|0|2|3
398|137|4|0|1|1
332|134|2|1|0|0
238|99|0|1|0|3
326|90|5|0|3|1
424|265|5|0|3|3
343|175|0|1|2|2
218|228|5|1|3|2
351|155|5|0|1|3
466|145|2|0|1|1
403|101|0|1|3|2
474|105|3|0|0|2
419|174|3|0|0|2
394|165|0|1|2|2
399|98|1|1|3|2
289|145|5|1|2|1
317|106|3|1|3|3
396|218|5|0|0|2
201|77|2|1|0|0
462|138|2|0|0|2
332|198|0|1|2|1
377|265|3|0|0|3
376|115|0|1|3|3
205|230|2|1|0|2
363|143|1|1|0|3
393|288|4|0|0|1
225|138|2|0|2|1
458|263|1|1|2|0  
421|300|0|0|1|1
309|258|3|0|2|2
401|193|0|0|1|3
476|83|0|1|1|3
234|59|2|0|0|3
209|120|3|1|2|1
254|178|1|1|2|0
298|88|1|0|0|2
464|285|1|1|0|1
227|194|0|1|3|3
211|123|0|0|3|0
386|293|1|1|0|0
487|107|4|0|3|2
390|240|3|1|3|0
317|270|0|0|3|2
399|152|1|1|0|2
452|101|0|0|1|2
426|88|3|1|0|3
276|204|4|0|1|1
433|191|2|0|2|3
325|127|5|0|1|1
359|160|0|0|2|0
498|52|4|0|1|0
399|165|1|1|3|1
399|148|4|1|2|2
292|285|5|1|0|1
394|73|0|1|2|3
428|285|2|1|2|0
463|85|5|0|2|1
398|249|4|1|2|3
234|257|5|0|1|2
206|131|3|1|1|2
363|180|5|1|1|0
249|198|5|0|3|0
421|284|0|0|2|0
332|236|5|0|3|0
382|205|2|1|0|1
316|215|3|1|0|1
340|270|2|0|2|1
328|254|0|1|0|2
283|135|2|1|2|2
200|234|5|0|1|3
284|115|3|1|1|0
240|116|0|1|2|1
483|221|3|1|0|0
363|111|2|0|0|2
330|83|4|0|1|0
253|100|0|0|1|0
221|237|0|0|2|3
443|268|4|1|2|3
477|133|1|1|2|3
397|214|2|1|1|2
281|283|5|1|0|3
248|199|5|1|1|3
363|194|4|1|2|2
400|287|2|0|0|3
407|181|4|1|2|3
268|199|3|1|0|3
479|79|1|1|1|1
232|61|4|0|1|2
364|175|0|1|3|3
447|68|5|0|1|2
469|284|1|1|0|3
482|247|0|1|2|1
382|56|1|1|2|2
212|148|0|1|3|0
248|202|5|1|3|3
268|149|2|0|0|1
320|156|4|1|0|1
414|146|0|0|0|2
250|231|4|0|3|0
399|203|4|0|0|2
318|233|4|1|0|2
397|218|3|0|0|1
288|269|0|0|2|0
433|260|2|0|1|2
281|223|5|1|1|3
338|195|5|0|2|1
376|191|5|1|3|2
254|121|1|0|0|1
260|194|0|1|0|1
313|210|1|0|0|0
226|239|3|1|0|1
256|129|0|0|2|2
356|212|0|0|1|1
234|105|2|1|0|3
422|213|5|1|1|0
350|275|5|0|1|2
382|209|1|0|2|1
408|269|0|0|3|0
206|287|2|0|1|0
422|52|4|1|0|3
266|229|2|1|1|3
309|100|3|0|2|1
346|96|4|0|2|1
447|63|2|1|0|2
394|286|4|1|2|0
410|174|3|0|0|2
475|117|4|1|3|3
421|118|5|0|0|2
242|208|1|0|3|3
482|146|0|0|1|3
225|276|4|0|3|1
459|81|1|0|2|0
300|262|3|0|3|2
481|183|1|0|1|0
370|100|3|0|0|3
464|55|3|0|3|0
271|267|1|0|0|2
325|83|5|1|2|0
464|85|2|0|0|1
353|223|0|0|2|0
411|102|2|1|1|3
414|132|5|1|3|3
296|212|1|0|2|3
384|160|5|1|0|1
381|199|4|1|2|3
423|225|1|0|3|2
302|227|0|0|3|0
215|268|1|1|3|1
424|198|1|1|1|2
261|58|0|1|3|1
206|206|4|0|2|3
296|155|1|1|3|1
200|200|1|0|3|2
332|233|1|1|3|0
200|84|5|0|3|0
240|280|1|0|1|1
284|107|1|0|0|0
277|176|2|0|1|0
409|124|3|1|3|1
370|207|1|1|2|3
287|296|3|0|0|1
262|243|2|0|3|0
453|131|5|1|1|1
285|290|1|1|2|1
498|247|2|0|1|0
281|209|3|0|2|0
413|297|2|0|2|3
457|84|2|1|0|3
417|157|2|1|0|0
467|220|1|0|0|1
232|54|3|0|1|0
329|255|5|0|1|3
469|67|2|0|0|0
410|71|3|1|2|2
489|297|3|1|0|1
219|248|5|1|1|3
436|84|5|1|3|3
495|166|0|1|2|2
288|108|0|1|3|0
266|230|3|1|2|3
352|179|3|0|0|0
303|133|4|0|2|2
357|73|2|0|2|0
406|95|4|0|0|2
425|196|2|0|2|0
374|66|3|1|2|2
432|241|1|1|1|0
357|227|1|0|0|1
248|93|2|0|3|0
457|238|0|1|0|1
301|190|5|0|1|2
226|81|0|1|3|3
335|216|4|0|1|0
259|298|3|1|0|0
235|265|4|0|1|0
459|89|4|0|2|2
350|209|0|1|1|2
381|144|0|1|2|1
208|206|1|0|3|3
370|256|2|1|2|3
328|221|1|0|3|2
223|192|4|1|3|3
334|104|5|0|2|0
442|199|2|1|0|1
373|93|3|1|0|2
432|294|5|0|3|0
341|64|1|1|3|2
349|207|4|1|1|2
423|259|1|0|2|3
262|116|4|0|3|2
499|113|3|1|3|0
449|161|3|1|2|0
237|128|2|0|1|0
405|251|3|0|2|1
358|82|1|1|2|1
383|283|5|0|3|1
488|236|5|0|0|2
374|97|1|1|1|0
307|222|0|1|1|3
295|276|1|0|2|3
452|162|5|0|0|0
442|206|2|1|3|1
204|197|0|0|0|2
216|142|3|0|0|2
267|190|5|0|1|0
252|88|0|1|0|3
340|108|1|1|2|0
321|52|5|1|0|0
204|170|2|1|2|3
326|105|4|1|2|3
500|172|4|1|1|1
439|60|0|1|0|2
436|280|4|0|1|1
355|257|2|0|3|0
300|296|1|0|2|0
317|179|0|0|3|1
482|285|3|1|2|3
247|193|0|0|1|1
493|68|4|1|2|0
500|112|1|0|1|3
449|228|0|0|3|3
350|175|3|0|1|2
237|122|1|1|0|2
464|232|5|1|3|1
375|146|1|0|1|1
211|240|5|0|3|0
415|262|3|1|0|0
223|176|5|1|0|1
437|262|4|0|1|2
452|153|2|1|1|2
462|109|5|0|3|1
302|105|3|1|0|3
428|163|2|0|0|1
424|296|2|1|0|0
397|300|5|0|0|1
418|238|2|1|0|3
271|217|0|0|2|2
209|287|2|1|0|3
421|190|4|1|1|0
244|164|0|0|3|3
328|277|4|0|2|3
420|160|0|0|1|1
280|296|4|1|1|1
238|196|0|0|2|2
427|227|3|1|1|3
377|148|3|1|0|1
216|106|3|0|3|2
210|71|4|1|3|3
338|163|2|1|2|0
415|129|1|1|1|0
342|176|1|0|0|0
408|266|4|1|3|0
274|157|4|0|1|2
351|83|5|1|2|2
353|292|4|0|3|1
322|282|3|0|1|3
220|232|3|1|2|0
260|293|4|1|3|0
344|115|3|0|3|1
435|270|2|1|0|3
260|194|1|1|3|1
237|138|4|0|1|3
378|85|5|0|3|0
454|163|3|0|3|0
414|141|1|0|1|0
225|168|0|1|3|2
419|256|5|1|3|2
291|280|0|1|1|1
369|140|0|0|2|3
339|180|3|1|1|1
302|132|0|1|0|0
226|232|3|1|2|1
362|233|5|1|3|3
351|101|1|1|3|3
351|264|5|1|2|1
312|104|2|1|2|3
391|60|1|1|0|1
430|209|3|1|3|1
319|166|1|0|3|0
427|216|0|1|1|2
207|150|4|1|3|2
441|294|2|0|1|0
259|227|2|0|1|1
408|62|5|0|2|0
455|232|5|0|3|0
296|266|2|1|0|0
328|104|0|0|3|1
302|266|2|0|1|3
485|73|0|0|0|1
291|274|0|1|3|3
301|69|2|1|3|2
322|60|1|0|1|0
233|57|1|1|3|1
306|297|1|1|1|2
446|92|2|0|2|1
375|73|0|1|0|0
202|137|0|1|0|2
464|244|3|0|3|0
418|81|1|1|3|2
273|133|0|1|1|1
